2.719	0.11215
2.757	0.214953
2.795	0.154206
2.833	0.205607
2.871	0.266355
2.909	0.308411
2.947	0.369159
2.985	0.471963
3.023	0.397196
3.061	0.471963
3.099	0.542056
3.137	0.570093
3.175	0.626168
3.213	0.570093
3.251	0.691589
3.289	0.724299
3.327	0.827103
3.365	0.799065
3.403	0.906542
3.441	0.878505
3.479	0.906542
3.517	0.943925
3.555	1
3.593	0.878505
3.631	0.892523
3.669	0.714953
3.707	0.705607
3.745	0.71028
3.783	0.714953
3.821	0.705607
3.859	0.579439
3.897	0.406542
3.935	0.509346
3.973	0.401869
4.011	0.443925
4.049	0.373832
4.087	0.303738
4.125	0.28972
4.163	0.247664
4.201	0.191589
4.239	0.135514
4.277	0.140187
4.315	0.107477
4.353	0.0934579
4.391	0.088785
4.429	0.0747664
4.467	0.0373832
4.505	0.0186916
4.543	0.0420561
4.581	0.0233645
